SessionId,EventType,CreatedAt,Device,UserAgent,Browser,OS,Language,Timezone,Path
d7bc40bf-34e0-4e58-9d1f-6b6c9afbaaeb,Visit Site,6/2/2022 23:5:52,Desktop,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15",Safari 15,MacOS,en-GB,Asia/Dubai,/blog/how-to-do-an-index-match-with-python-and-pandas
86cddc3e-920d-4067-aabc-8fb48d02e593,Visit Site,6/2/2022 22:0:53,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",Chrome 97,Windows,ru-RU,Europe/Moscow,/blog/how-to-do-an-index-match-with-python-and-pandas
d8a78e4d-53c4-476e-829d-c69a7c3a5f65,Visit Site,6/2/2022 16:43:28,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",Chrome 97,Windows,en-GB,Europe/London,/blog/how-to-batch-rename-files-in-folders-with-python
e9a405a9-42bb-4860-958b-2f3060b1cb1a,Visit Site,6/2/2022 23:37:10,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",Chrome 97,Windows,en-US,Etc/GMT-8,/blog/how-to-do-an-index-match-with-python-and-pandas
589d4f1c-e5fe-40e6-8f80-7b03e602d300,Visit Site,6/2/2022 18:26:39,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",Chrome 97,Windows,en-US,Europe/Minsk,/blog/multiple-authentication-schemes-with-aspnet-core-and-azure-active-directory
c7cc8207-7f24-4ea5-9e9f-0cbebb762c56,Visit Page,6/2/2022 15:37:57,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",Chrome 97,Windows,nl-NL,Europe/Amsterdam,/blog/building-a-website-analytics-dashboard-with-power-bi-and-google-sheets
c7cc8207-7f24-4ea5-9e9f-0cbebb762c56,Visit Site,6/2/2022 15:33:49,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",Chrome 97,Windows,nl-NL,Europe/Amsterdam,/blog/multiple-authentication-schemes-with-aspnet-core-and-azure-active-directory
9c9fb06e-72c9-4f07-a381-c3d558674278,Visit Site,6/2/2022 17:22:5,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",Chrome 97,Windows,en,Asia/Riyadh,/blog/reduce-material-design-icons-font-to-7kb-and-automate-with-pyautogui
35d4b9fd-4de5-476f-8d47-e923921e6564,Visit Site,6/2/2022 17:37:51,Mobile,"Mozilla/5.0 (Linux; Android 11; CPH2059) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.98 Mobile Safari/537.36",Chrome 97,Linux,en-US,Asia/Manila,/blog/how-to-do-an-index-match-with-python-and-pandas
5480f733-a2b8-4df0-8710-f8c287e514ef,Visit Site,6/2/2022 9:36:30,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",Chrome 97,Windows,en-GB,Europe/London,/blog/how-to-do-an-index-match-with-python-and-pandas
a1c92c85-4b47-4b96-aa5b-af704175f309,Visit Site,6/2/2022 13:25:10,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",Chrome 97,Windows,en-US,Asia/Dubai,/blog/how-to-do-an-index-match-with-python-and-pandas
962a9876-b2fc-4cd2-a029-b16868d1655e,Visit Site,6/2/2022 14:59:8,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.81 Safari/537.36",Chrome 98,Windows,en-US,Asia/Dhaka,/
8950d9ad-4f94-4992-86ca-2a22b4f6387c,Visit Site,6/2/2022 12:41:53,Desktop,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",Chrome 97,Windows,en-US,Asia/Dubai,/blog/how-to-do-an-index-match-with-python-and-pandas
4d46d252-bc73-48ec-ab9b-009cb00ababb,Visit Site,6/2/2022 0:42:29,Desktop,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.69",Edge (Chromium) 97,MacOS,zh-CN,America/Los_Angeles,/blog/how-to-do-an-index-match-with-python-and-pandas
10364a2c-610a-48b8-a3aa-1094fbce9cea,Visit Site,6/2/2022 17:19:46,Desktop,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",Chrome 97,Linux,ko-KR,Asia/Seoul,/blog/reduce-material-design-icons-font-to-7kb-and-automate-with-pyautogui
